publication,year,endorsed,source,source2,notes
Bergen Record,2012,Obama,http://www.northjersey.com/opinion/the-record-obama-for-for-2012-1.516178,,
Bergen Record,2016,Clinton,http://www.northjersey.com/news/the-record-endorsement-vote-for-clinton-a-fighter-qualified-for-the-presidency-1.1674909,,
Birmingham News,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Birmingham News,1984,Reagan,"Associated Press. Nov 4, 1984.",,
Birmingham News,1988,Bush,"https://news.google.com/newspapers?nid=1842&dat=19881018&id=AlweAAAAIBAJ&sjid=dsgEAAAAIBAJ&pg=1262,2945009",,
Birmingham News,1992,Bush,"Associated Press. ""State papers back Bush 2-1."" Huntsville Times. Nov 3, 1992. p. B6.",,
Birmingham News,1996,Dole,"Associated Press. ""State daily newspapers endorse Dole 10-5."" Birmingham News. Nov 5, 1996. p. 4B.",,
Birmingham News,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Birmingham News,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Birmingham News,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Birmingham News,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Birmingham News,2016,Clinton,http://www.al.com/opinion/index.ssf/2016/10/endorsement_hillary_clinton.html,,"Under Alabama Media Group, which also includes the Huntsville Times and Mobile Press-Register (al.com is a shared digital arm)"
Boston Globe,1980,Anderson,https://books.google.com/books?id=kXKFfYMjiloC&lpg=PA403&pg=PA403#v=onepage&q&f=false,,
Boston Globe,1984,Mondale,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Boston Globe,1988,Dukakis,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Boston Globe,1992,Clinton,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Boston Globe,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Boston Globe,2000,Gore,http://www.nber.org/papers/w14445.pdf,,
Boston Globe,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Boston Globe,2008,Obama,http://archive.boston.com/bostonglobe/editorial_opinion/editorials/articles/2008/10/14/obama_for_president/,,
Boston Globe,2012,Obama,http://www.bostonglobe.com/opinion/editorials/2012/10/28/election-endorsement-barack-obama-deserves-another-term/KuJG4aANDHHpEqKVYsLIaM/story.html,,
Boston Globe,2016,Clinton,https://www.bostonglobe.com/opinion/editorials/2016/10/08/hillary-clinton-for-president/FskxtCff9ErrN3TW4OJb6O/story.html,,
Boston Herald,1980,Reagan,http://www.upi.com/Archives/1980/10/27/With-the-presidential-campaign-heading-into-its-final-week/2612341470800/,,
Boston Herald,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Boston Herald,1988,Bush,http://www.upi.com/Archives/1988/10/26/The-Boston-Herald-Wednesday-bypassed-its-favorite-son-and/4538593841600/,,
Boston Herald,1992,Bush,"""George Bush: Change and experience in '92."" Boston Herald. Oct 29, 1992. p. 34.",,
Boston Herald,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Boston Herald,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Boston Herald,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Boston Herald,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Boston Herald,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Boston Herald,2016,None,http://www.bostonherald.com/opinion/editorials/2016/10/editorial_none_of_the_above_for_president,,
Buffalo News,1980,Unknown,,,
Buffalo News,1984,Unknown,,,
Buffalo News,1988,Dukakis,"""Gov. Dukakis promises vision and competence."" Buffalo News. Oct 30, 1988. p. H12.",,
Buffalo News,1992,Clinton,"""At a vital turning point, Clinton for president."" Buffalo News. Oct 25, 1992. p. G8.",,
Buffalo News,1996,Clinton,https://www.highbeam.com/doc/1P2-22889919.html,,
Buffalo News,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Buffalo News,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Buffalo News,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Buffalo News,2012,Obama,http://www.buffalonews.com/apps/pbcs.dll/article?AID=/20121028/OPINION/121029422/1074,,
Buffalo News,2016,Clinton,http://buffalonews.com/2016/10/27/editorial-clintons-experience-trumps-faults-leave-voters-one-realistic-choice/,,
Charleston Post and Courier,1980,Reagan,"""Why We Support Mr. Reagan."" Charleston News and Courier. Oct 31, 1980. p. 14A.","""For President: Reagan."" Charleston Evening Post. Oct 31, 1980. p. 10A.",Charleston News and Courier and Charleston Evening Post both endorsed Reagan; provided by the Charleston County Public Library's South Carolina History Room
Charleston Post and Courier,1984,Reagan,"Associated Press. Nov 4, 1984.",,Charleston News and Courier and Charleston Evening Post both endorsed Reagan
Charleston Post and Courier,1988,Unknown/Bush,"""The Better Choice."" Charleston Evening Post. Nov 4, 1988. p. 10A.",,Charleston Evening Post endorsed Bush; provided by the Charleston County Public Library's South Carolina History Room
Charleston Post and Courier,1992,None,"""Reservations about them all."" Charleston Post and Courier. Nov 1, 1992. p. 18A.",,Provided by the Charleston County Public Library's South Carolina History Room
Charleston Post and Courier,1996,Dole,"""Bob Dole."" Charleston Post and Courier. Nov 3, 1996. p. A18.",,
Charleston Post and Courier,2000,Bush,https://www2.gwu.edu/~action/natendorse5.html,,
Charleston Post and Courier,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Charleston Post and Courier,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Charleston Post and Courier,2012,Romney,http://www.postandcourier.com/article/20121104/PC1002/121109694/1022/elect-mitt-romney-president,,
Charleston Post and Courier,2016,Johnson,http://www.postandcourier.com/opinion/editorials/a-liberating-presidential-vote-solution/article_8b22f73a-a2bd-11e6-b62a-e3d04d5923e5.html,,
Charlotte Observer,1980,Carter,"Email from Taylor Batten, Editorial Page Editor of the Observer",,
Charlotte Observer,1984,Mondale,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Charlotte Observer,1988,Dukakis,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Charlotte Observer,1992,Clinton,http://www.nytimes.com/1992/10/12/us/the-1992-campaign-rivals-each-win-endorsements.html,,
